year,day,stars,position,seconds
2015,1,2,1,655
2015,1,2,2,982
2015,1,2,3,1451
2015,1,2,4,1487
2015,1,2,5,1494
2015,1,2,6,1732
2015,1,2,7,1865
2015,1,2,8,1877
2015,1,2,9,1920
2015,1,2,10,1941
2015,1,2,11,2092
2015,1,2,12,2093
2015,1,2,13,2449
2015,1,2,14,2523
2015,1,2,15,2633
2015,1,2,16,2725
2015,1,2,17,2796
2015,1,2,18,2840
2015,1,2,19,3307
2015,1,2,20,3596
2015,1,2,21,3977
2015,1,2,22,4123
2015,1,2,23,4252
2015,1,2,24,4330
2015,1,2,25,4367
2015,1,2,26,4581
2015,1,2,27,4839
2015,1,2,28,5185
2015,1,2,29,5219
2015,1,2,30,5258
2015,1,2,31,5569
2015,1,2,32,5871
2015,1,2,33,5879
2015,1,2,34,5937
2015,1,2,35,6362
2015,1,2,36,6372
2015,1,2,37,6421
2015,1,2,38,6422
2015,1,2,39,6554
2015,1,2,40,6569
2015,1,2,41,6596
2015,1,2,42,6611
2015,1,2,43,6664
2015,1,2,44,6821
2015,1,2,45,6829
2015,1,2,46,6837
2015,1,2,47,6984
2015,1,2,48,7122
2015,1,2,49,7160
2015,1,2,50,7161
2015,1,2,51,7375
2015,1,2,52,7457
2015,1,2,53,7468
2015,1,2,54,7478
2015,1,2,55,7650
2015,1,2,56,7777
2015,1,2,57,7797
2015,1,2,58,7879
2015,1,2,59,8172
2015,1,2,60,8220
2015,1,2,61,8317
2015,1,2,62,8449
2015,1,2,63,8478
2015,1,2,64,8650
2015,1,2,65,8704
2015,1,2,66,8901
2015,1,2,67,8948
2015,1,2,68,9096
2015,1,2,69,9122
2015,1,2,70,9174
2015,1,2,71,9332
2015,1,2,72,9340
2015,1,2,73,9360
2015,1,2,74,9376
2015,1,2,75,9383
2015,1,2,76,9568
2015,1,2,77,9607
2015,1,2,78,9784
2015,1,2,79,9841
2015,1,2,80,9876
2015,1,2,81,9882
2015,1,2,82,9893
2015,1,2,83,9921
2015,1,2,84,10028
2015,1,2,85,10158
2015,1,2,86,10162
2015,1,2,87,10343
2015,1,2,88,10363
2015,1,2,89,10446
2015,1,2,90,10475
2015,1,2,91,10574
2015,1,2,92,10620
2015,1,2,93,10652
2015,1,2,94,10668
2015,1,2,95,10699
2015,1,2,96,10936
2015,1,2,97,10958
2015,1,2,98,11041
2015,1,2,99,11111
2015,1,2,100,11176
2015,1,1,1,338
2015,1,1,2,340
2015,1,1,3,469
2015,1,1,4,481
2015,1,1,5,499
2015,1,1,6,983
2015,1,1,7,1001
2015,1,1,8,1012
2015,1,1,9,1217
2015,1,1,10,1298
2015,1,1,11,1340
2015,1,1,12,1609
2015,1,1,13,1742
2015,1,1,14,1763
2015,1,1,15,1841
2015,1,1,16,1946
2015,1,1,17,2202
2015,1,1,18,2272
2015,1,1,19,2272
2015,1,1,20,2288
2015,1,1,21,2522
2015,1,1,22,2574
2015,1,1,23,2587
2015,1,1,24,2829
2015,1,1,25,3280
2015,1,1,26,3830
2015,1,1,27,3863
2015,1,1,28,3865
2015,1,1,29,3871
2015,1,1,30,4028
2015,1,1,31,4089
2015,1,1,32,4479
2015,1,1,33,4566
2015,1,1,34,4660
2015,1,1,35,4736
2015,1,1,36,4803
2015,1,1,37,4816
2015,1,1,38,5028
2015,1,1,39,5055
2015,1,1,40,5109
2015,1,1,41,5153
2015,1,1,42,5189
2015,1,1,43,5427
2015,1,1,44,5682
2015,1,1,45,5692
2015,1,1,46,5705
2015,1,1,47,5813
2015,1,1,48,5834
2015,1,1,49,5864
2015,1,1,50,5924
2015,1,1,51,6016
2015,1,1,52,6099
2015,1,1,53,6109
2015,1,1,54,6156
2015,1,1,55,6175
2015,1,1,56,6221
2015,1,1,57,6344
2015,1,1,58,6449
2015,1,1,59,6524
2015,1,1,60,6543
2015,1,1,61,6597
2015,1,1,62,6601
2015,1,1,63,6683
2015,1,1,64,6828
2015,1,1,65,6937
2015,1,1,66,6982
2015,1,1,67,6999
2015,1,1,68,7148
2015,1,1,69,7287
2015,1,1,70,7289
2015,1,1,71,7337
2015,1,1,72,7377
2015,1,1,73,7378
2015,1,1,74,7607
2015,1,1,75,7634
2015,1,1,76,7813
2015,1,1,77,7853
2015,1,1,78,7871
2015,1,1,79,7961
2015,1,1,80,7970
2015,1,1,81,7987
2015,1,1,82,8071
2015,1,1,83,8093
2015,1,1,84,8131
2015,1,1,85,8553
2015,1,1,86,8556
2015,1,1,87,8604
2015,1,1,88,8809
2015,1,1,89,8822
2015,1,1,90,8893
2015,1,1,91,8989
2015,1,1,92,8995
2015,1,1,93,9091
2015,1,1,94,9100
2015,1,1,95,9118
2015,1,1,96,9145
2015,1,1,97,9172
2015,1,1,98,9178
2015,1,1,99,9188
2015,1,1,100,9271
2015,2,2,1,327
2015,2,2,2,553
2015,2,2,3,556
2015,2,2,4,628
2015,2,2,5,670
2015,2,2,6,693
2015,2,2,7,707
2015,2,2,8,722
2015,2,2,9,771
2015,2,2,10,791
2015,2,2,11,874
2015,2,2,12,875
2015,2,2,13,881
2015,2,2,14,920
2015,2,2,15,957
2015,2,2,16,985
2015,2,2,17,1007
2015,2,2,18,1012
2015,2,2,19,1060
2015,2,2,20,1130
2015,2,2,21,1134
2015,2,2,22,1139
2015,2,2,23,1152
2015,2,2,24,1174
2015,2,2,25,1196
2015,2,2,26,1222
2015,2,2,27,1232
2015,2,2,28,1233
2015,2,2,29,1260
2015,2,2,30,1281
2015,2,2,31,1296
2015,2,2,32,1329
2015,2,2,33,1339
2015,2,2,34,1343
2015,2,2,35,1345
2015,2,2,36,1347
2015,2,2,37,1363
2015,2,2,38,1370
2015,2,2,39,1382
2015,2,2,40,1394
2015,2,2,41,1436
2015,2,2,42,1444
2015,2,2,43,1470
2015,2,2,44,1500
2015,2,2,45,1527
2015,2,2,46,1529
2015,2,2,47,1546
2015,2,2,48,1554
2015,2,2,49,1561
2015,2,2,50,1600
2015,2,2,51,1628
2015,2,2,52,1628
2015,2,2,53,1647
2015,2,2,54,1664
2015,2,2,55,1665
2015,2,2,56,1717
2015,2,2,57,1730
2015,2,2,58,1816
2015,2,2,59,1826
2015,2,2,60,1832
2015,2,2,61,1833
2015,2,2,62,1836
2015,2,2,63,1852
2015,2,2,64,1876
2015,2,2,65,1899
2015,2,2,66,1900
2015,2,2,67,1917
2015,2,2,68,2033
2015,2,2,69,2065
2015,2,2,70,2073
2015,2,2,71,2090
2015,2,2,72,2093
2015,2,2,73,2099
2015,2,2,74,2108
2015,2,2,75,2151
2015,2,2,76,2151
2015,2,2,77,2157
2015,2,2,78,2164
2015,2,2,79,2165
2015,2,2,80,2172
2015,2,2,81,2181
2015,2,2,82,2185
2015,2,2,83,2214
2015,2,2,84,2214
2015,2,2,85,2333
2015,2,2,86,2338
2015,2,2,87,2348
2015,2,2,88,2349
2015,2,2,89,2364
2015,2,2,90,2371
2015,2,2,91,2404
2015,2,2,92,2409
2015,2,2,93,2413
2015,2,2,94,2418
2015,2,2,95,2478
2015,2,2,96,2529
2015,2,2,97,2533
2015,2,2,98,2534
2015,2,2,99,2613
2015,2,2,100,2624
2015,2,1,1,205
2015,2,1,2,277
2015,2,1,3,388
2015,2,1,4,401
2015,2,1,5,416
2015,2,1,6,433
2015,2,1,7,434
2015,2,1,8,436
2015,2,1,9,452
2015,2,1,10,535
2015,2,1,11,542
2015,2,1,12,555
2015,2,1,13,561
2015,2,1,14,585
2015,2,1,15,612
2015,2,1,16,622
2015,2,1,17,637
2015,2,1,18,649
2015,2,1,19,679
2015,2,1,20,682
2015,2,1,21,695
2015,2,1,22,700
2015,2,1,23,707
2015,2,1,24,719
2015,2,1,25,733
2015,2,1,26,735
2015,2,1,27,743
2015,2,1,28,764
2015,2,1,29,797
2015,2,1,30,854
2015,2,1,31,873
2015,2,1,32,885
2015,2,1,33,889
2015,2,1,34,891
2015,2,1,35,896
2015,2,1,36,902
2015,2,1,37,925
2015,2,1,38,931
2015,2,1,39,941
2015,2,1,40,988
2015,2,1,41,989
2015,2,1,42,990
2015,2,1,43,994
2015,2,1,44,1004
2015,2,1,45,1005
2015,2,1,46,1007
2015,2,1,47,1040
2015,2,1,48,1057
2015,2,1,49,1063
2015,2,1,50,1067
2015,2,1,51,1067
2015,2,1,52,1092
2015,2,1,53,1142
2015,2,1,54,1142
2015,2,1,55,1146
2015,2,1,56,1163
2015,2,1,57,1190
2015,2,1,58,1210
2015,2,1,59,1225
2015,2,1,60,1238
2015,2,1,61,1238
2015,2,1,62,1259
2015,2,1,63,1270
2015,2,1,64,1351
2015,2,1,65,1379
2015,2,1,66,1387
2015,2,1,67,1408
2015,2,1,68,1415
2015,2,1,69,1416
2015,2,1,70,1433
2015,2,1,71,1452
2015,2,1,72,1459
2015,2,1,73,1506
2015,2,1,74,1507
2015,2,1,75,1531
2015,2,1,76,1579
2015,2,1,77,1589
2015,2,1,78,1613
2015,2,1,79,1613
2015,2,1,80,1657
2015,2,1,81,1662
2015,2,1,82,1663
2015,2,1,83,1666
2015,2,1,84,1680
2015,2,1,85,1703
2015,2,1,86,1709
2015,2,1,87,1724
2015,2,1,88,1743
2015,2,1,89,1764
2015,2,1,90,1784
2015,2,1,91,1803
2015,2,1,92,1814
